GeoLon(deg),GeoLat(deg),Orbit,Trigger Time,T50(ms),T50_Err(ms),T50+/-Err(ms),Satellite Altitude(km),ML Counts,ML Counts Err,ML Counts+/-Err,TGF Name,EventType,source
-1.87,0.52,40902,1427103774,0.086,0.011,8.600e-2+/-1.100e-2,488.97,32.92,5.73,32.92+/-5.73,150323.10425,0,agile
102.09,2.07,40902,1427105527,0.104,0.015,1.040e-1+/-1.500e-2,501.11,24.0,4.889,24.00+/-4.889,150323.1112,0,agile
-71.93,2.48,40908,1427138955,0.061,0.009,6.100e-2+/-9.000e-3,500.18,18.0,4.234,18.00+/-4.234,150323.20291,0,agile
119.48,-1.49,40910,1427148237,0.027,0.005,2.700e-2+/-5.000e-3,481.21,9.97,3.156,9.97+/-3.156,150323.23035,0,agile
3.68,-2.1,40912,1427170528,0.04,0.008,4.000e-2+/-8.000e-3,480.42,12.95,3.595,12.95+/-3.595,150324.05152,0,agile
5.23,-0.18,40916,1427182671,0.101,0.014,1.010e-1+/-1.400e-2,484.1,26.0,5.087,26.00+/-5.087,150324.08375,0,agile
5.28,0.92,40916,1427188732,0.108,0.017,1.080e-1+/-1.700e-2,488.05,18.98,4.352,18.98+/-4.352,150324.10185,0,agile
101.0,2.05,40916,1427190345,0.038,0.008,3.800e-2+/-8.000e-3,501.21,10.98,3.308,10.98+/-3.308,150324.10454,0,agile
118.07,1.5,40916,1427190633,0.067,0.011,6.700e-2+/-1.100e-2,500.85,18.98,4.351,18.98+/-4.351,150324.10503,0,agile
-2.46,1.57,40918,1427194661,0.107,0.024,1.070e-1+/-2.400e-2,491.02,9.91,3.157,9.91+/-3.157,150324.11574,0,agile
8.24,2.41,40918,1427200902,0.913,0.14,9.130e-1+/-1.400e-1,497.14,21.0,4.574,21.00+/-4.574,150324.13414,1,agile
137.62,-2.48,40920,1427215203,0.032,0.007,3.200e-2+/-7.000e-3,483.44,11.99,3.455,11.99+/-3.455,150324.174,0,agile
10.6,-2.38,40928,1427249423,0.175,0.035,1.750e-1+/-3.500e-2,481.97,12.93,3.597,12.93+/-3.597,150325.03102,0,agile
99.58,0.15,40933,1427287279,0.333,0.054,3.330e-1+/-5.400e-2,499.53,19.01,4.352,19.01+/-4.352,150325.13411,0,agile
-91.43,-0.1,40933,1427290120,0.072,0.016,7.200e-2+/-1.600e-2,482.02,9.96,3.156,9.96+/-3.156,150325.14284,0,agile
10.46,2.38,40933,1427291835,0.196,0.032,1.960e-1+/-3.200e-2,498.81,18.99,4.347,18.99+/-4.347,150325.14571,0,agile
112.59,1.57,40945,1427360211,0.14,0.026,1.400e-1+/-2.600e-2,500.58,14.97,3.866,14.97+/-3.866,150326.09565,0,agile
108.19,-0.34,40947,1427372259,0.459,0.081,4.590e-1+/-8.100e-2,499.78,17.73,4.232,17.73+/-4.232,150326.13173,1,agile
-68.99,2.43,40951,1427393511,0.07,0.016,7.000e-2+/-1.600e-2,495.54,9.96,3.156,9.96+/-3.156,150326.19115,0,agile
-76.32,1.42,40953,1427405508,0.084,0.016,8.400e-2+/-1.600e-2,500.37,12.99,3.596,12.99+/-3.596,150326.22314,2,agile
-76.32,1.42,40953,1427405508,0.093,0.017,9.300e-2+/-1.700e-2,500.37,14.99,3.864,14.99+/-3.864,150326.22314,3,agile
27.47,-2.42,40955,1427413319,0.27,0.028,2.700e-1+/-2.800e-2,486.28,56.4,7.525,56.4+/-7.525,150327.00415,0,agile
24.29,-2.04,40955,1427419324,0.302,0.042,3.020e-1+/-4.200e-2,483.17,25.94,5.09,25.94+/-5.09,150327.0222,0,agile
77.67,1.16,40957,1427426279,0.098,0.012,9.800e-2+/-1.200e-2,482.58,30.96,5.554,30.96+/-5.554,150327.04175,0,agile
25.72,-0.09,40957,1427431465,0.022,0.005,2.200e-2+/-5.000e-3,480.41,10.99,3.311,10.99+/-3.311,150327.05442,0,agile
100.09,-2.43,40965,1427475137,0.039,0.007,3.900e-2+/-7.000e-3,492.3,13.99,3.735,13.99+/-3.735,150327.17521,0,agile
110.46,-2.48,40965,1427475312,0.032,0.007,3.200e-2+/-7.000e-3,490.36,10.98,3.309,10.98+/-3.309,150327.17551,0,agile
94.39,2.38,40972,1427517453,0.196,0.028,1.960e-1+/-2.800e-2,486.88,22.96,4.785,22.96+/-4.785,150328.05373,0,agile
104.2,0.78,40974,1427535798,0.036,0.007,3.600e-2+/-7.000e-3,499.62,12.98,3.6,12.98+/-3.60,150328.10431,0,agile
113.07,-2.47,40978,1427560189,0.214,0.035,2.140e-1+/-3.500e-2,492.14,19.0,4.351,19.00+/-4.351,150328.17294,0,agile
-71.91,2.42,40978,1427563129,0.09,0.017,9.000e-2+/-1.700e-2,490.37,13.96,3.738,13.96+/-3.738,150328.18184,0,agile
19.2,-2.36,40980,1427576788,0.159,0.03,1.590e-1+/-3.000e-2,496.37,13.94,3.729,13.94+/-3.729,150328.22062,0,agile
97.91,-1.01,40982,1427578111,0.034,0.007,3.400e-2+/-7.000e-3,482.88,13.0,3.6,13.00+/-3.60,150328.22283,0,agile
100.37,-0.24,40988,1427623025,0.185,0.024,1.850e-1+/-2.400e-2,500.23,30.01,5.465,30.01+/-5.465,150329.1157,0,agile
115.65,-0.93,40988,1427623283,0.053,0.009,5.300e-2+/-9.000e-3,500.8,15.0,3.866,15.00+/-3.866,150329.12012,0,agile
-133.84,-0.59,40990,1427631204,0.171,0.024,1.710e-1+/-2.400e-2,482.64,25.92,5.087,25.92+/-5.087,150329.14132,0,agile
19.54,-2.44,40995,1427664083,0.046,0.008,4.600e-2+/-8.000e-3,494.39,14.97,3.866,14.97+/-3.866,150329.23212,0,agile
97.33,-1.25,41003,1427713865,0.232,0.046,2.320e-1+/-4.600e-2,500.59,12.96,3.599,12.96+/-3.599,150330.1311,0,agile
101.47,-2.16,41005,1427719995,0.151,0.03,1.510e-1+/-3.000e-2,500.27,13.0,3.599,13.00+/-3.599,150330.14531,0,agile
115.14,-2.44,41005,1427726286,0.038,0.007,3.800e-2+/-7.000e-3,495.98,14.98,3.865,14.98+/-3.865,150330.1638,0,agile
103.06,-2.27,41007,1427732142,0.076,0.017,7.600e-2+/-1.700e-2,494.06,9.98,3.153,9.98+/-3.153,150330.18154,0,agile
100.99,0.4,41010,1427750284,0.053,0.011,5.300e-2+/-1.100e-2,482.31,11.96,3.456,11.96+/-3.456,150330.2318,0,agile
-8.48,0.9,41014,1427778738,0.023,0.005,2.300e-2+/-5.000e-3,481.56,12.0,3.459,12.00+/-3.459,150331.07121,0,agile
136.49,-2.39,41018,1427799355,0.09,0.017,9.000e-2+/-1.700e-2,500.26,12.96,3.599,12.96+/-3.599,150331.12555,0,agile
130.79,-2.48,41020,1427805318,0.072,0.015,7.200e-2+/-1.500e-2,498.7,11.94,3.458,11.94+/-3.458,150331.14351,0,agile
144.35,-2.36,41020,1427805547,0.031,0.007,3.100e-2+/-7.000e-3,496.88,10.98,3.311,10.98+/-3.311,150331.1439,0,agile
-76.29,1.04,41022,1427826065,0.038,0.008,3.800e-2+/-8.000e-3,491.23,12.97,3.598,12.97+/-3.598,150331.2021,0,agile
12.54,-2.34,41022,1427827564,0.055,0.012,5.500e-2+/-1.200e-2,500.62,9.97,3.155,9.97+/-3.155,150331.2046,0,agile
-76.28,-1.89,41028,1427862426,0.022,0.005,2.200e-2+/-5.000e-3,495.04,9.98,3.155,9.98+/-3.155,150401.0627,0,agile
23.18,1.77,41032,1427882272,0.112,0.014,1.120e-1+/-1.400e-2,485.8,35.03,5.905,35.03+/-5.905,150401.11575,0,agile
113.74,-2.42,41032,1427889859,0.024,0.005,2.400e-2+/-5.000e-3,500.61,13.0,3.6,13.00+/-3.60,150401.14041,0,agile
23.65,-0.3,41034,1427894399,0.08,0.017,8.000e-2+/-1.700e-2,494.48,9.99,3.157,9.99+/-3.157,150401.15195,0,agile
74.12,0.44,41038,1427925549,0.055,0.011,5.500e-2+/-1.100e-2,486.49,12.0,3.457,12.00+/-3.457,150401.2359,0,agile
119.6,1.71,41043,1427944486,0.066,0.015,6.600e-2+/-1.500e-2,484.39,10.96,3.31,10.96+/-3.31,150402.05144,0,agile
137.7,-2.0,41045,1427962970,0.039,0.007,3.900e-2+/-7.000e-3,499.03,17.96,4.233,17.96+/-4.233,150402.10225,0,agile
20.8,-0.25,41047,1427979178,0.081,0.011,8.100e-2+/-1.100e-2,491.6,25.98,5.09,25.98+/-5.09,150402.14525,0,agile
42.17,-1.19,41047,1427979538,0.127,0.016,1.270e-1+/-1.600e-2,495.47,29.89,5.466,29.89+/-5.466,150402.14585,0,agile
29.27,-0.43,41054,1428015680,0.061,0.012,6.100e-2+/-1.200e-2,492.84,12.97,3.599,12.97+/-3.599,150403.01012,0,agile
10.31,0.91,41056,1428027479,0.032,0.007,3.200e-2+/-7.000e-3,487.63,9.96,3.154,9.96+/-3.154,150403.04175,0,agile
97.23,0.5,41072,1428125880,0.074,0.014,7.400e-2+/-1.400e-2,484.13,15.95,3.997,15.95+/-3.997,150404.0738,0,agile
141.9,-2.48,41074,1428138750,0.053,0.011,5.300e-2+/-1.100e-2,499.28,11.95,3.456,11.95+/-3.456,150404.11123,0,agile
143.18,-2.48,41074,1428138772,0.124,0.026,1.240e-1+/-2.600e-2,499.39,11.97,3.457,11.97+/-3.457,150404.11125,0,agile
-124.79,0.34,41074,1428140325,0.047,0.009,4.700e-2+/-9.000e-3,493.47,13.98,3.735,13.98+/-3.735,150404.11384,0,agile
18.9,2.16,41084,1428203332,0.16,0.031,1.600e-1+/-3.100e-2,486.14,12.94,3.599,12.94+/-3.599,150405.05085,0,agile
99.7,-1.74,41089,1428222863,0.047,0.009,4.700e-2+/-9.000e-3,490.78,13.97,3.735,13.97+/-3.735,150405.10342,0,agile
118.37,-2.24,41089,1428223177,0.036,0.007,3.600e-2+/-7.000e-3,494.25,13.01,3.604,13.01+/-3.604,150405.10393,0,agile
27.37,-1.31,41095,1428264060,0.158,0.023,1.580e-1+/-2.300e-2,500.18,24.92,4.984,24.92+/-4.984,150405.2201,0,agile
41.03,0.37,41095,1428270350,0.038,0.007,3.800e-2+/-7.000e-3,496.91,13.99,3.734,13.99+/-3.734,150405.23455,0,agile
64.61,1.38,41095,1428270748,0.29,0.047,2.900e-1+/-4.700e-2,493.05,19.0,4.35,19.00+/-4.35,150405.23522,0,agile
146.87,1.32,41097,1428278188,0.035,0.008,3.500e-2+/-8.000e-3,479.98,9.99,3.155,9.99+/-3.155,150406.01562,0,agile
132.98,-0.2,41099,1428290070,0.034,0.007,3.400e-2+/-7.000e-3,482.36,12.97,3.599,12.97+/-3.599,150406.05143,0,agile
24.67,-1.72,41105,1428324599,0.096,0.019,9.600e-2+/-1.900e-2,487.19,31.47,5.775,31.47+/-5.775,150406.14495,2,agile
24.67,-1.72,41105,1428324599,0.236,0.03,2.360e-1+/-3.000e-2,487.19,31.0,5.554,31.00+/-5.554,150406.14495,3,agile
30.7,-0.02,41109,1428354998,0.066,0.011,6.600e-2+/-1.100e-2,499.27,20.03,4.469,20.03+/-4.469,150406.23163,0,agile
14.13,1.37,41111,1428366838,0.192,0.032,1.920e-1+/-3.200e-2,495.7,16.99,4.113,16.99+/-4.113,150407.02335,0,agile
9.65,2.44,41114,1428378880,0.027,0.005,2.700e-2+/-5.000e-3,488.19,10.99,3.31,10.99+/-3.31,150407.05544,0,agile
105.78,-1.21,41116,1428386552,0.043,0.008,4.300e-2+/-8.000e-3,483.3,13.0,3.6,13.00+/-3.60,150407.08023,0,agile
110.1,-1.38,41116,1428386624,0.171,0.032,1.710e-1+/-3.200e-2,483.93,14.0,3.735,14.00+/-3.735,150407.08034,0,agile
144.08,-2.34,41116,1428387196,0.036,0.008,3.600e-2+/-8.000e-3,489.87,11.99,3.459,11.99+/-3.459,150407.08131,0,agile
142.62,-2.47,41116,1428393230,0.263,0.046,2.630e-1+/-4.600e-2,493.85,16.0,3.992,16.00+/-3.992,150407.09535,0,agile
97.58,-2.06,41119,1428410648,0.194,0.032,1.940e-1+/-3.200e-2,497.54,18.88,4.35,18.88+/-4.35,150407.1444,0,agile
89.11,2.48,41126,1428446862,0.382,0.066,3.820e-1+/-6.600e-2,488.59,17.0,4.115,17.00+/-4.115,150408.00474,0,agile
21.54,2.32,41128,1428457843,0.155,0.03,1.550e-1+/-3.000e-2,492.52,13.95,3.737,13.95+/-3.737,150408.03504,0,agile
108.82,-2.16,41130,1428477483,0.231,0.031,2.310e-1+/-3.100e-2,485.39,27.96,5.281,27.96+/-5.281,150408.0918,0,agile
21.01,-1.72,41134,1428494181,0.059,0.009,5.900e-2+/-9.000e-3,482.56,20.94,4.574,20.94+/-4.574,150408.13562,0,agile
21.14,-1.72,41134,1428494183,0.27,0.053,2.700e-1+/-5.300e-2,482.57,27.85,5.31,27.85+/-5.31,150408.13562,0,agile
21.46,-1.73,41134,1428494189,0.109,0.012,1.090e-1+/-1.200e-2,482.62,36.98,6.07,36.98+/-6.07,150408.13562,0,agile
92.39,1.72,41138,1428519621,0.34,0.046,3.400e-1+/-4.600e-2,497.94,27.01,5.186,27.01+/-5.186,150408.21002,0,agile
9.56,2.11,41142,1428542461,0.526,0.067,5.260e-1+/-6.700e-2,496.59,30.0,5.465,30.00+/-5.465,150409.0321,1,agile
-3.66,2.33,41142,1428548298,0.069,0.012,6.900e-2+/-1.200e-2,495.05,14.98,3.867,14.98+/-3.867,150409.04581,0,agile
27.33,2.41,41142,1428548819,0.038,0.007,3.800e-2+/-7.000e-3,489.36,15.98,3.991,15.98+/-3.991,150409.05065,0,agile
27.35,2.41,41142,1428548820,0.016,0.004,1.600e-2+/-4.000e-3,489.36,9.99,3.156,9.99+/-3.156,150409.0507,0,agile
113.45,-2.48,41146,1428568439,0.177,0.034,1.770e-1+/-3.400e-2,488.15,16.78,4.112,16.78+/-4.112,150409.10335,0,agile
86.27,2.25,41153,1428610396,0.039,0.008,3.900e-2+/-8.000e-3,497.26,12.0,3.458,12.00+/-3.458,150409.22131,0,agile
116.51,2.46,41153,1428610906,0.055,0.008,5.500e-2+/-8.000e-3,492.34,20.97,4.574,20.97+/-4.574,150409.22214,0,agile
92.24,2.08,41155,1428622614,0.043,0.008,4.300e-2+/-8.000e-3,488.17,15.99,3.992,15.99+/-3.992,150410.01365,0,agile
120.97,-1.94,41157,1428641270,0.042,0.008,4.200e-2+/-8.000e-3,480.65,11.99,3.459,11.99+/-3.459,150410.06475,0,agile
170.03,2.44,41163,1428678449,0.049,0.011,4.900e-2+/-1.100e-2,496.99,9.99,3.156,9.99+/-3.156,150410.17072,0,agile
20.06,-2.05,41163,1428681978,1.044,0.161,1.044e+0+/-1.610e-1,489.96,20.99,4.57,20.99+/-4.57,150410.18061,1,agile
176.27,2.31,41165,1428684613,0.042,0.009,4.200e-2+/-9.000e-3,492.11,11.0,3.311,11.00+/-3.311,150410.18501,0,agile
-78.81,0.82,41173,1428722726,0.214,0.039,2.140e-1+/-3.900e-2,499.28,19.94,4.479,19.94+/-4.479,150411.05252,0,agile
141.12,-1.99,41173,1428738542,0.024,0.005,2.400e-2+/-5.000e-3,488.54,10.99,3.314,10.99+/-3.314,150411.0949,0,agile
117.94,-1.96,41176,1428744210,0.046,0.007,4.600e-2+/-7.000e-3,488.54,20.0,4.463,20.00+/-4.463,150411.11233,0,agile
122.5,-1.83,41176,1428744287,0.028,0.005,2.800e-2+/-5.000e-3,489.39,14.97,3.865,14.97+/-3.865,150411.11244,0,agile
165.48,1.91,41179,1428757131,0.035,0.007,3.500e-2+/-7.000e-3,499.97,13.97,3.735,13.97+/-3.735,150411.14585,0,agile
118.7,1.95,41179,1428768460,0.188,0.03,1.880e-1+/-3.000e-2,499.96,20.98,4.569,20.98+/-4.569,150411.18074,0,agile
23.74,-2.02,41190,1428833504,0.461,0.084,4.610e-1+/-8.400e-2,479.82,15.0,3.866,15.00+/-3.866,150412.12114,1,agile
26.77,-2.1,41190,1428833555,0.202,0.076,2.020e-1+/-7.600e-2,479.76,19.35,4.607,19.35+/-4.607,150412.12123,0,agile
17.19,-2.38,41190,1428839451,0.057,0.011,5.700e-2+/-1.100e-2,479.91,12.99,3.597,12.99+/-3.597,150412.13505,0,agile
99.78,-1.66,41202,1428919596,0.047,0.011,4.700e-2+/-1.100e-2,485.17,10.97,3.31,10.97+/-3.31,150413.12063,0,agile
100.78,-1.63,41202,1428919613,0.382,0.062,3.820e-1+/-6.200e-2,485.33,19.01,4.351,19.01+/-4.351,150413.12065,0,agile
98.51,1.39,41206,1428937751,0.066,0.009,6.600e-2+/-9.000e-3,496.87,25.98,5.088,25.98+/-5.088,150413.17091,0,agile
101.1,1.49,41206,1428937794,0.077,0.011,7.700e-2+/-1.100e-2,497.2,25.02,4.994,25.02+/-4.994,150413.17095,0,agile
25.29,-0.79,41206,1428942575,0.116,0.014,1.160e-1+/-1.400e-2,488.35,35.96,5.982,35.96+/-5.982,150413.18293,0,agile
96.79,2.11,41206,1428943781,0.067,0.012,6.700e-2+/-1.200e-2,499.04,16.0,3.992,16.00+/-3.992,150413.18494,0,agile
15.91,-2.43,41218,1429015118,0.135,0.02,1.350e-1+/-2.000e-2,479.86,30.97,5.57,30.97+/-5.57,150414.14383,0,agile
112.25,2.42,41222,1429034915,0.045,0.009,4.500e-2+/-9.000e-3,499.65,10.98,3.31,10.98+/-3.31,150414.20083,0,agile
100.65,2.23,41222,1429040778,0.108,0.015,1.080e-1+/-1.500e-2,499.06,27.87,5.276,27.87+/-5.276,150414.21461,0,agile
7.79,2.15,41226,1429063448,0.046,0.007,4.600e-2+/-7.000e-3,499.06,21.02,4.579,21.02+/-4.579,150415.0404,0,agile
10.12,2.09,41226,1429063488,0.07,0.011,7.000e-2+/-1.100e-2,498.89,23.02,4.794,23.02+/-4.794,150415.04044,0,agile
-76.78,2.45,41228,1429074140,0.138,0.023,1.380e-1+/-2.300e-2,499.19,18.5,4.35,18.5+/-4.35,150415.07022,0,agile
12.14,0.16,41228,1429075640,0.036,0.008,3.600e-2+/-8.000e-3,492.14,10.98,3.311,10.98+/-3.311,150415.07272,0,agile
112.66,-1.9,41229,1429083385,0.077,0.017,7.700e-2+/-1.700e-2,480.7,9.97,3.155,9.97+/-3.155,150415.09362,0,agile
100.46,2.48,41236,1429119529,0.108,0.02,1.080e-1+/-2.000e-2,499.15,14.98,3.865,14.98+/-3.865,150415.19384,0,agile
98.52,2.24,41236,1429125555,0.066,0.015,6.600e-2+/-1.500e-2,499.61,10.01,3.158,10.01+/-3.158,150415.21191,0,agile
-84.25,1.15,41245,1429177003,0.043,0.008,4.300e-2+/-8.000e-3,498.09,13.99,3.733,13.99+/-3.733,150416.11364,0,agile
98.56,-0.5,41247,1429180076,0.042,0.009,4.200e-2+/-9.000e-3,482.75,9.99,3.156,9.99+/-3.156,150416.12275,0,agile
10.28,-2.45,41247,1429184652,0.283,0.051,2.830e-1+/-5.100e-2,480.32,19.6,4.582,19.6+/-4.582,150416.13441,0,agile
24.06,-1.59,41247,1429190940,0.101,0.022,1.010e-1+/-2.200e-2,479.99,12.89,3.6,12.89+/-3.60,150416.1529,0,agile
-160.93,1.32,41249,1429193887,0.14,0.028,1.400e-1+/-2.800e-2,498.73,12.96,3.599,12.96+/-3.599,150416.1618,0,agile
24.52,-1.5,41262,1429275759,0.09,0.017,9.000e-2+/-1.700e-2,479.53,12.98,3.599,12.98+/-3.599,150417.15023,0,agile
102.58,1.79,41262,1429277071,0.197,0.03,1.970e-1+/-3.000e-2,488.99,21.96,4.681,21.96+/-4.681,150417.15243,0,agile
126.08,2.35,41262,1429277467,0.051,0.011,5.100e-2+/-1.100e-2,493.29,11.0,3.311,11.00+/-3.311,150417.1531,0,agile
102.26,1.19,41280,1429386109,0.032,0.007,3.200e-2+/-7.000e-3,499.39,12.98,3.599,12.98+/-3.599,150418.21414,0,agile
-120.2,2.3,41284,1429418710,1.089,0.125,1.089e+0+/-1.250e-1,487.95,38.0,6.148,38.00+/-6.148,150419.06451,1,agile
10.53,-0.96,41292,1429451201,0.192,0.02,1.920e-1+/-2.000e-2,479.57,47.02,6.837,47.02+/-6.837,150419.15464,0,agile
11.75,-0.9,41292,1429451222,0.08,0.012,8.000e-2+/-1.200e-2,479.51,22.97,4.787,22.97+/-4.787,150419.1547,0,agile
19.01,-0.58,41292,1429451344,0.173,0.026,1.730e-1+/-2.600e-2,479.28,23.0,4.786,23.00+/-4.786,150419.1549,0,agile
21.53,-0.47,41292,1429451386,0.159,0.017,1.590e-1+/-1.700e-2,479.25,39.78,6.305,39.78+/-6.305,150419.15494,3,agile
21.53,-0.47,41292,1429451386,0.077,0.022,7.700e-2+/-2.200e-2,479.25,5.98,2.445,5.98+/-2.445,150419.15494,2,agile
10.37,2.02,41296,1429469369,0.063,0.011,6.300e-2+/-1.100e-2,484.2,16.98,4.117,16.98+/-4.117,150419.20492,0,agile
9.47,2.39,41296,1429481469,0.05,0.008,5.000e-2+/-8.000e-3,492.5,17.96,4.231,17.96+/-4.231,150420.0011,0,agile
-2.68,0.43,41298,1429499440,0.042,0.008,4.200e-2+/-8.000e-3,499.33,14.98,3.866,14.98+/-3.866,150420.05104,0,agile
22.73,-2.47,41302,1429518044,0.142,0.022,1.420e-1+/-2.200e-2,489.2,22.87,4.792,22.87+/-4.792,150420.10204,0,agile
23.87,-2.11,41302,1429524120,0.049,0.011,4.900e-2+/-1.100e-2,484.74,10.95,3.311,10.95+/-3.311,150420.1202,0,agile
115.68,1.6,41304,1429525662,0.093,0.012,9.300e-2+/-1.200e-2,480.96,28.99,5.374,28.99+/-5.374,150420.12274,0,agile
21.94,-1.4,41304,1429530145,0.085,0.022,8.500e-2+/-2.200e-2,481.56,8.0,2.824,8.00+/-2.824,150420.13422,2,agile
21.94,-1.4,41304,1429530145,0.062,0.022,6.200e-2+/-2.200e-2,481.56,4.0,1.996,4.00+/-1.996,150420.13422,3,agile
24.9,-1.29,41304,1429530194,0.322,0.054,3.220e-1+/-5.400e-2,481.21,17.91,4.231,17.91+/-4.231,150420.13431,0,agile
29.29,1.05,41306,1429542382,0.019,0.004,1.900e-2+/-4.000e-3,479.54,10.99,3.309,10.99+/-3.309,150420.17062,0,agile
99.49,2.44,41306,1429543560,0.15,0.032,1.500e-1+/-3.200e-2,489.66,12.86,3.602,12.86+/-3.602,150420.1726,0,agile
19.51,2.27,41308,1429554331,0.121,0.026,1.210e-1+/-2.600e-2,483.6,11.0,3.311,11.00+/-3.311,150420.20253,2,agile
19.51,2.27,41308,1429554331,0.061,0.015,6.100e-2+/-1.500e-2,483.6,9.8,3.16,9.8+/-3.16,150420.20253,3,agile
100.78,-1.06,41311,1429567817,0.088,0.014,8.800e-2+/-1.400e-2,499.29,22.96,4.785,22.96+/-4.785,150421.00101,0,agile
132.1,-1.71,41313,1429586518,0.051,0.011,5.100e-2+/-1.100e-2,484.12,12.0,3.458,12.00+/-3.458,150421.05215,0,agile
104.93,-0.89,41315,1429598175,0.072,0.015,7.200e-2+/-1.500e-2,481.32,11.01,3.313,11.01+/-3.313,150421.08361,0,agile
122.45,0.99,41317,1429604526,0.148,0.026,1.480e-1+/-2.600e-2,479.24,16.97,4.115,16.97+/-4.115,150421.1022,0,agile
18.72,-1.46,41317,1429614897,0.057,0.012,5.700e-2+/-1.200e-2,483.74,15.85,4.003,15.85+/-4.003,150421.13145,0,agile
167.08,0.23,41321,1429629505,0.065,0.014,6.500e-2+/-1.400e-2,498.04,11.0,3.31,11.00+/-3.31,150421.17182,0,agile
126.03,0.99,41321,1429634871,0.059,0.012,5.900e-2+/-1.200e-2,495.97,10.99,3.31,10.99+/-3.31,150421.18475,0,agile
109.04,-0.44,41323,1429646702,0.053,0.011,5.300e-2+/-1.100e-2,498.87,10.99,3.311,10.99+/-3.311,150421.2205,0,agile
-78.51,2.48,41325,1429667775,0.096,0.02,9.600e-2+/-2.000e-2,484.52,11.94,3.455,11.94+/-3.455,150422.03561,0,agile
103.54,-1.8,41327,1429676900,0.042,0.008,4.200e-2+/-8.000e-3,487.15,13.99,3.735,13.99+/-3.735,150422.06282,0,agile
116.52,0.81,41329,1429689232,0.072,0.014,7.200e-2+/-1.400e-2,479.41,14.98,3.867,14.98+/-3.867,150422.09535,0,agile
13.66,-0.58,41331,1429705675,0.275,0.053,2.750e-1+/-5.300e-2,482.71,13.94,3.736,13.94+/-3.736,150422.14275,0,agile
121.23,2.43,41333,1429707480,0.031,0.007,3.100e-2+/-7.000e-3,484.82,11.99,3.458,11.99+/-3.458,150422.1458,0,agile
124.39,2.4,41333,1429707533,0.058,0.011,5.800e-2+/-1.100e-2,485.37,15.92,3.99,15.92+/-3.99,150422.14585,0,agile
-67.78,0.11,41335,1429728534,0.046,0.014,4.600e-2+/-1.400e-2,481.19,7.72,2.825,7.72+/-2.825,150422.20485,0,agile
29.72,1.82,41337,1429736227,0.074,0.016,7.400e-2+/-1.600e-2,489.25,10.94,3.312,10.94+/-3.312,150422.2257,0,agile
10.08,-1.43,41341,1429760129,0.066,0.012,6.600e-2+/-1.200e-2,498.86,15.9,3.991,15.9+/-3.991,150423.05352,0,agile
23.47,-1.13,41345,1429784586,0.148,0.019,1.480e-1+/-1.900e-2,487.0,31.02,5.557,31.02+/-5.557,150423.1223,0,agile
2.59,2.01,41350,1429808462,0.05,0.008,5.000e-2+/-8.000e-3,479.13,17.01,4.116,17.01+/-4.116,150423.1901,0,agile
9.6,1.63,41352,1429826749,0.02,0.004,2.000e-2+/-4.000e-3,487.46,10.99,3.31,10.99+/-3.31,150424.00054,0,agile
10.99,-2.23,41356,1429851005,0.108,0.017,1.080e-1+/-1.700e-2,498.94,19.83,4.466,19.83+/-4.466,150424.065,0,agile
121.78,1.85,41363,1429883152,0.165,0.035,1.650e-1+/-3.500e-2,484.66,10.99,3.308,10.99+/-3.308,150424.15455,0,agile
22.43,-1.96,41368,1429929940,0.049,0.008,4.900e-2+/-8.000e-3,498.05,16.95,4.115,16.95+/-4.115,150425.04454,0,agile
142.45,0.04,41370,1429931963,0.057,0.012,5.700e-2+/-1.200e-2,486.74,10.94,3.31,10.94+/-3.31,150425.05192,0,agile
29.08,2.3,41378,1429984566,0.086,0.016,8.600e-2+/-1.600e-2,480.05,13.95,3.731,13.95+/-3.731,150425.1956,0,agile
48.56,1.36,41402,1430130269,0.108,0.017,1.080e-1+/-1.700e-2,487.19,18.92,4.35,18.92+/-4.35,150427.12242,0,agile
29.99,0.65,41416,1430214755,0.136,0.026,1.360e-1+/-2.600e-2,492.67,14.97,3.865,14.97+/-3.865,150428.11523,0,agile
30.36,0.67,41416,1430214761,0.026,0.005,2.600e-2+/-5.000e-3,492.61,12.0,3.458,12.00+/-3.458,150428.11524,0,agile
116.68,2.36,41416,1430216211,0.217,0.02,2.170e-1+/-2.000e-2,479.62,56.01,7.457,56.01+/-7.457,150428.12165,2,agile
116.68,2.36,41416,1430216211,0.159,0.024,1.590e-1+/-2.400e-2,479.62,21.0,4.573,21.00+/-4.573,150428.12165,3,agile
116.68,2.36,41416,1430216211,0.212,0.03,2.120e-1+/-3.000e-2,479.62,26.02,5.091,26.02+/-5.091,150428.12165,3,agile
116.68,2.36,41416,1430216211,0.471,0.073,4.710e-1+/-7.300e-2,479.62,21.0,4.573,21.00+/-4.573,150428.12165,3,agile
123.13,0.57,41418,1430228431,0.124,0.019,1.240e-1+/-1.900e-2,480.89,21.93,4.68,21.93+/-4.68,150428.15403,0,agile
-92.78,2.24,41423,1430255089,0.05,0.008,5.000e-2+/-8.000e-3,485.56,17.0,4.117,17.00+/-4.117,150428.23044,0,agile
67.33,2.35,41433,1430312293,0.023,0.004,2.300e-2+/-4.000e-3,481.0,12.97,3.592,12.97+/-3.592,150429.14581,0,agile
